Keywords,Avg monthly searches,Three month change,YoY change,Competition,Ad impressions Share,Top of page bid (low),Top of page bid (high)
2,1M – 10M,0%,0%,Low,—,¥29,¥186
3d,10K – 100K,0%,0%,Low,—,¥120,¥729
accelerometer,100 – 1K,0%,0%,Low,—,¥155,¥521
accuracy,10K – 100K,0%,0%,Low,—,—,—
and,10K – 100K,0%,0%,Low,—,¥4,¥99
arcade,10K – 100K,0%,0%,Low,—,¥21,¥3806
as,10K – 100K,0%,0%,Low,—,¥12,¥186
bang,10K – 100K,0%,0%,Low,—,¥14,¥388
benchmark,1K – 10K,0%,0%,Low,—,¥29,¥34
best,10K – 100K,0%,0%,Low,—,¥14,¥329
bounty,1K – 10K,0%,0%,Low,—,—,—
bragging,1K – 10K,0%,0%,Low,—,—,—
casual,1K – 10K,0%,0%,Low,—,—,—
challenge,10K – 100K,0%,0%,Low,—,¥126,¥407
competitive,10K – 100K,0%,0%,Low,—,¥6,¥72
controls,1K – 10K,0%,-90%,Low,—,—,—
coordination,10K – 100K,+900%,0%,Low,—,¥64,¥110
cowboy,1K – 10K,0%,0%,Low,—,—,—
detection,10K – 100K,0%,0%,Low,—,—,—
draw,10K – 100K,0%,0%,Low,—,¥50,¥71
duel,1K – 10K,0%,0%,Low,—,—,—
face,10K – 100K,0%,0%,Low,—,¥1,¥513
fast,100K – 1M,0%,0%,Low,—,—,—
fight,1K – 10K,+900%,+900%,Low,—,¥41,¥219
final,10K – 100K,0%,0%,Low,—,¥23,¥240
fire,10K – 100K,0%,0%,Low,—,¥2,¥224
flick,1K – 10K,0%,0%,Low,—,¥30,¥59
friends,10K – 100K,0%,0%,Low,—,¥239,¥594
game,10K – 100K,0%,0%,Low,—,¥5,¥145
gaming,10K – 100K,0%,0%,Low,—,¥5,¥145
gesture,1K – 10K,0%,0%,Low,—,—,—
global,10K – 100K,0%,0%,Low,—,¥119,¥382
gun,1K – 10K,0%,0%,Low,—,—,—
gunfighter,10 – 100,0%,0%,Low,—,—,—
gunman,—,—,—,—,—,—,—
gunslinger,100 – 1K,0%,0%,Low,—,—,—
hand eye,10 – 100,0%,0%,Low,—,—,—
head,10K – 100K,0%,0%,Low,—,¥6,¥283
holster,100 – 1K,0%,0%,Low,—,—,—
hunt,10K – 100K,0%,0%,Medium,—,¥35,¥233
interactive,1K – 10K,0%,0%,Low,—,—,—
leaderboards,100 – 1K,0%,0%,Low,—,—,—
lift,1K – 10K,0%,0%,Low,—,¥38,¥214
lightning,10K – 100K,0%,0%,Low,—,¥19,¥126
matchmaking,100 – 1K,0%,0%,Low,—,¥139,¥771
midnight,10K – 100K,0%,0%,Low,—,¥7,¥13
millisecond,1K – 10K,0%,0%,Low,—,—,—
mode,1K – 10K,0%,0%,Low,—,¥106,¥313
motion,10K – 100K,0%,+900%,Low,—,¥23,¥382
movement,1K – 10K,0%,0%,Low,—,—,—
multiplayer,100 – 1K,+900%,+900%,Low,—,—,—
off,10K – 100K,0%,0%,Low,—,¥41,¥51
outlaw,1K – 10K,0%,0%,Low,—,—,—
party,10K – 100K,0%,0%,Low,—,¥7,¥400
personal,1K – 10K,+900%,0%,Low,—,—,—
phone,10K – 100K,0%,0%,Medium,—,¥67,¥532
pistol,—,—,—,—,—,—,—
player,1K – 10K,0%,+900%,Low,—,—,—
practice,10K – 100K,0%,0%,Low,—,—,—
precision,10K – 100K,0%,0%,Low,—,¥102,¥815
pvp,1K – 10K,0%,0%,Low,—,—,—
quick,1K – 10K,+900%,0%,Low,—,¥169,¥583
quickest,100 – 1K,0%,-90%,Low,—,—,—
rapid,10K – 100K,+900%,0%,Low,—,—,—
reaction,1K – 10K,0%,0%,Low,—,—,—
ready,10K – 100K,0%,0%,Low,—,—,—
reflex,1K – 10K,0%,0%,Low,—,—,—
rights,10K – 100K,0%,0%,Low,—,¥904,¥2902
sensor,1K – 10K,0%,0%,Low,—,¥138,¥369
sheriff,1K – 10K,0%,0%,Low,—,—,—
shooting,1K – 10K,0%,-90%,Low,—,—,—
showdown,1K – 10K,-90%,0%,Low,—,¥445,¥1028
skill,1K – 10K,0%,0%,Low,—,¥3,¥38
speed,10K – 100K,0%,0%,Low,—,¥9,¥53
standoff,1K – 10K,0%,0%,Low,—,—,—
steady,10K – 100K,0%,0%,Low,—,¥36,¥171
tap,10K – 100K,0%,0%,Low,—,¥94,¥535
test,100K – 1M,0%,0%,Low,—,¥133,¥746
tilt,1K – 10K,0%,0%,Low,—,—,—
time,100K – 1M,0%,0%,Low,—,¥45,¥227
timing,1K – 10K,0%,0%,Low,—,—,—
to,10K – 100K,+900%,+900%,Low,—,¥35,¥104
training,1K – 10K,0%,0%,Low,—,¥43,¥477
west,100K – 1M,0%,0%,Low,—,—,—
western,1K – 10K,0%,0%,Low,—,¥52,¥58
wild,10K – 100K,0%,+900%,Low,—,—,—
wireless,1K – 10K,0%,0%,Low,—,¥53,¥239
